Attaka,Mitragyna parvifolia,0.59,
Atui,Piptadeniastrum africanum,0.63,
Atzapolquahuitl,Pouteria pomifera,0.84,
Atzapotl,Pouteria izabalensis,0.64,
Aulne Noir,Alnus glutinosa,0.41,
Aune,Alnus glutinosa,0.41,
Aune Commune,Alnus glutinosa,0.41,
Aupar Kwipari,Loxopterygium sagotii,0.62,
Aus,Manilkara bidentata,0.95,
Ausabo,Manilkara bidentata,0.95,
Australian Araucaria,Araucaria cunninghamii,0.44,
Australian Beefwood,Casuarina equisetifolia,0.87,
Australian Black Acacia,Acacia melanoxylon,0.54,
Australian Blackwood,Acacia melanoxylon,0.54,
Australian Cedar,Cedrela toona,0.47,
Australian Cypress,Callitris glauca,0.59,
Australian Grey Bastard Box,Eucalyptus hemiphloia,0.93,
Australian Maple,Flindersia pimenteliana,0.51,
Australian Maple,Flindersia pubescens,0.60,
Australian Oak,Eucalyptus obliqua,0.68,
Australian Pine,Casuarina equisetifolia,0.87,
Australian Red Cedar,Cedrela toona,0.47,
Australian Red-Cedar,Cedrela toona,0.47,
Australian silky oak,Grevillea robusta,0.54,
Australian Silky-Oak,Grevillea robusta,0.54,
Austrian Oak,Quercus petraea,0.65,
Austrian Oak,Quercus robur,0.57,
Austrian White Pine,Pinus strobus,0.35,
Ausubo,Manilkara bidentata,0.95,
Ausus,Excoecaria agallocha,0.42,
Avati,Hymenaea courbaril,0.83,
Avellano,Aleurites moluccana,0.14,
Avenbok,Carpinus betulus,0.61,
Avewotse,Morus mesozygia,0.71,
Avispillo,Phoebe elongata,0.62,
Avodere,Turraeanthus africanus,0.51,
Avodire,Turraeanthus africanus,0.51,2
Avoga,Poga oleosa,0.39,
Avong,Millettia stuhlmannii,0.83,
Awa,Pometia pinnata,0.60,
Awang,Pometia pinnata,0.60,
Awari,Pterygota bequaertii,0.53,
Awari,Pterygota macrocarpa,0.54,
Awenshin,Terminalia ivorensis,0.54,
Awong,Millettia laurentii,0.81,
Awoung,Millettia laurentii,0.81,14
Axlewood,Anogeissus latifolia,0.66,
Ayas,Excoecaria agallocha,0.42,
Aye,Morus mesozygia,0.71,
Ayni,Artocarpus hirsuta,0.52,
Ayos,Triplochiton scleroxylon,0.32,
Ayous,Triplochiton scleroxylon,0.32,
Ayus,Triplochiton scleroxylon,0.32,
